Orden;Pregunta;Respuesta;Valor;
1; Trabaja para un municipio de menos de 5000 habitantes ;  Media ;0; 
2; Trabaja para una Diputación Provincial;  Media ;0; 
3; Trabaja para una Mancomunidad;  Media ;0; 
4; Puesto de trabajo;  Media ;0; 
5; Departamento;  Media ;0; 
6; Sexo;  Media ;0; 
7; Edad;  Media ;39,8308; 
8; Titulación máxima que posee:;  Media ;0; 
9; ¿Qué relación laboral mantiene con la entidad local donde trabaja?;  Media ;0; 
10; ¿A qué grupo pertenece?;  Media ;0; 
11; ¿Cuánto tiempo lleva trabajando en la administración pública?;  Media ;0; 
12; En su puesto actual, ¿cuántas personas tiene a su cargo?;  Media ;0; 
1; La información de los cursos la he recibido puntualmente     ;  Media ;4,4769; 
2; La información de los cursos ha sido clara;  Media ;4,5385; 
3; La oferta formativa global del Plan es completa en su conjunto;  Media ;4,4462; 
4; La totalidad de los cursos cubre las necesidades de mi entidad;  Media ;4,2923; 
5; La organización y coordinación de los cursos ha sido correcta;  Media ;4,4769; 
6; Sus expectativas se han visto satisfechas al participar en el Plan;  Media ;4,3846; 
7; En general, el Plan está enfocado a mejorar mi trabajo;  Media ;4,4615; 
8; El Plan se orienta a la promoción profesional;  Media ;4,3077; 
9; El Plan ha cubierto adecuadamente sus objetivos;  Media ;4,4769; 
1; La plataforma donde se ha desarrollado era adecuada;  Media ;4,4769; 
2; La duración del curso fue suficiente;  Media ;4,3385; 
3; Han entorpecido el desarrollo del curso cuestiones técnicas de la plataforma;  Media ;3,9231; 
4; El material didáctico ha sido suficiente y fácil de localizar;  Media ;4,3692; 
5; Ha utilizado todos los servicios que ofrece la plataforma;  Media ;4,3846; 
6; La metodología se adecuaba a tus expectativas;  Media ;4,3538; 
7; Ha habido correspondencia entre los contenidos y los objetivos presentados;  Media ;4,4; 
8; La forma de organizar y presentar los contenidos han sido claros y fáciles;  Media ;4,4615; 
9; Las aplicaciones prácticas de la acción formativa fueron suficientes;  Media ;4,2769; 
10; Los enlaces o hipervínculos están activos y han sido útiles;  Media ;4,4308; 
11; El tutor demostró tener buenos conocimientos en la materia;  Media ;4,4308; 
12; Las actividades prácticas le han ayudado a asimilar mejor los contenidos;  Media ;4,3077; 
13; Ha encontrado apoyo en el tutor;  Media ;4,2769; 
14; Motivó y despertó su interés;  Media ;4,3231; 
15; La interacción con los alumnos en los foros ha sido buena;  Media ;4,2308; 
16; El tutor ha hecho seguimiento sobre sus progresos a lo largo del curso;  Media ;4,3077; 
17; Durante el curso ha necesitado ponerse en contacto con la gestora al no haber resuelto el tutor sus dudas;  Media ;3,9385; 
18; Califique los conocimientos adquiridos;  Media ;4,2923; 
19; Califique la utilidad para el desempeño de su trabajo;  Media ;4,4462; 
20; Califique la puesta en práctica de los conocimientos adquiridos;  Media ;4,2615; 
21; Califique la utilidad para el futuro;  Media ;4,4769; 
22; En su conjunto, valore el Plan de Formación de la FEMPCLM;  Media ;4,4769; 
1; Díganos, en su opinión qué aspectos deberíamos tener en cuenta para mejorar los planes de formación de esta entidad promotora:;  Media ;0; 
2; Díganos en su opinión, qué aspectos deberíamos conservar en el desarrollo de los cursos para mantener la calidad de los planes de formación;  Media ;0; 
3; Díganos, en su opinión un máximo de cinco cursos de formación que considera necesarios para el desarrollo de sus funciones en el puesto de trabajo que tiene en estos momentos e indíquenos igualmente el formato que crea que pueda favorecer la participación de los empleados públicos (presencial, distancia u on-line):;  Media ;0; 
