Orden;Pregunta;Respuesta;Valor;
1; La organización del curso ha sido la adecuada, cumplimiento de fechas/horarios, entrega de material.  ;  Media ;4,1667; 
2; El número de alumnos del grupo ha sido el adecuado para el desarrollo del curso;  Media ;4,3333; 
3; Los contenidos del curso se han ajustado a tus expectativas;  Media ;4,1667; 
4; Ha habido una combinación adecuada de teoría y práctica;  Media ;4,5; 
5; La duración del curso ha sido adecuada;  Media ;4,1667; 
6; El horario ha favorecido la asistencia al curso;  Media ;4,6667; 
7; El Formador ha demostrado conocer los temas tratados en profundidad;  Media ;4,8333; 
8; El formador ha dinamizado el grupo, generando un clima que ha favorecido al aprendizaje.;  Media ;4,8333; 
9; Los materiales y documentación utilizados han sido comprensibles y adecuados;  Media ;4,1667; 
10; El Equipamiento y medios técnicos (pizarra, proyector...);  Media ;4; 
11; El Aula e instalaciones (espacio, luminosidad, ventilación....);  Media ;4,1667; 
12; El curso le ha permitido adquirir nuevas habilidades/capacidades  que pueda aplicar al puesto de trabajo?;  Media ;4,6667; 
13; Recomendaría este curso a otros compañeros;  Media ;4,8333; 
14; Observaciones:;  Media ;0; 
