cd;nombre;area;profesor;plataforma;duracion ;productividad;metodologia ;practicas ;general
1;GESTIÓN Y ARCHIVOS DE DOCUMENTOS ELECTRÓNICOS. TRAMITACIÓN ELECTRÓNICA DE EXPEDIENTES;ADMON ELECTRONICA;4.51;4.46;4.35;4.28;4.25;4.21;4.39
12;INTERVENCIÓN EN ACCIDENTES DE TRÁFICO CON CISTERNAS;ESPECIFICOS DET COLECTIVOS;4.63;4.35;4.18;4.33;4.08;3.78;4.31
14;INTERVENCIÓN CON RIESGO BIOLÓGICO EN SERVICIOS DE EMERGENCIAS;ESPECIFICOS DET COLECTIVOS;4.68;4.41;4.08;4.41;4.17;4.08;4.47
17;INTERVENCIÓN POLICIAL EN CASOS DE VÍCTIMAS DE DELITOS VIOLENTOS,  DE GÉNERO Y SEXUALES;ESPECIFICOS DET COLECTIVOS;4.52;4.49;4.48;4.41;4.49;4.38;4.59
18;INTERVENCIÓN POLICIAL EN CASOS DE RESPONSABILIDAD PENAL DE MENORES;ESPECIFICOS DET COLECTIVOS;4.39;4.53;4.3;4.29;4.25;4.09;4.44
2;CONTRATACIÓN PÚBLICA ELECTRÓNICA: LA E-CONTRATACIÓN;ADMON ELECTRONICA;4.51;4.56;4.09;4.46;4.4;4.42;4.6
20;ACTUACIONES POLICIALES EN MATERIA DE CONTAMINACIÓN ACÚSTICA;ESPECIFICOS DET COLECTIVOS;4.43;4.48;4.34;4.39;4.35;4.28;4.48
21;COMUNICACIÓN NO VIOLENTA;ESPECIFICOS DET COLECTIVOS;4.58;4.45;4.43;4.4;4.32;4.29;4.43
23;MANEJO DE SITUACIONES DE RIESGO FÍSICO O PSICOLOGICO EN LA ATT A USUARIOS DE SERVICIOS PUBLICOS;ESPECIFICOS DET COLECTIVOS;4.44;4.28;4.21;4.28;4.21;4.23;4.34
24;ATENCIÓN A LA CIUDADANÍA ANTE SITUACIONES DE PÁNICO COLECTIVO;ESPECIFICOS DET COLECTIVOS;4.52;4.49;4.44;4.33;4.35;4.26;4.5
25;ACTUALIZACIÓN EN INTERVENCIÓN SOCIAL ANTE CASOS DE VIOLENCIA DE GÉNERO Y FAMILIAR;ESPECIFICOS DET COLECTIVOS;4.43;4.46;4.4;4.26;4.3;4.28;4.38
26;PREVENCIÓN Y ACTUACIÓN ANTE LAS NUEVAS ADICCIONES ( RRSS,  VIDEO JUEGOS,  JUEGOS DE AZAR…);ESPECIFICOS DET COLECTIVOS;4.3;4.42;4.35;4.07;4.15;4.1;4.26
27;PREVENCIÓN DE LA DELINCUENCIA JUVENIL;ESPECIFICOS DET COLECTIVOS;4.46;4.54;4.4;4.25;4.52;4.27;4.49
28;RIESGOS PSICOSOCIALES DERIVADOS DEL TRABAJO CON USUARIOS EN RIESGOS O SITUACIÓN DE EXCLUSIÓN SOCIAL;ESPECIFICOS DET COLECTIVOS;4.43;4.26;4.36;4.21;4.21;4.14;4.34
3;REDES SOCIALES. ESPECIAL ATENCIÓN A LOS SISTEMAS DE PROTECCIÓN DE DATOS;ADMON ELECTRONICA;4.51;4.45;4.0;4.18;4.21;4.15;4.47
30;TÉCNICAS DE ASESORAMIENTO INNOVADOR PARA EL DESARROLLO DE  ECOSISTEMAS EMPRENDEDORES;ESPECIFICOS DET COLECTIVOS;4.46;4.69;4.54;4.16;4.38;4.46;4.54
31;ARABE PARA LA ATENCIÓN AL PÚBLICO. INICIACIÓN;IDIOMAS;4.64;4.14;3.76;3.93;4.1;3.97;4.21
32;INGLÉS PARA LA ATENCIÓN AL PÚBLICO – NIVEL B1;IDIOMAS;4.56;4.4;3.97;4.26;4.31;4.36;4.39
33;ATENCIÓN ELECTRÓNICA AL CIUDADANO;INFF Y ATT AL PUB;4.32;4.31;4.23;4.22;4.2;4.15;4.33
34;LEY 39/2015 DE PROCEDIMIENTO ADMINISTRATIVO LOCAL. ASPECTOS PRÁCTICOS;JURIDICO PROCEDIMENTAL;4.52;4.44;4.19;4.42;4.39;4.31;4.51
35;LEY 40/2015 DE RÉGIMEN JURÍDICO DEL SECTOR PÚBLICO. ASPECTOS PRÁCTICOS;JURIDICO PROCEDIMENTAL;4.4;4.5;4.4;4.36;4.4;4.3;4.4
36;CONTRATO DE OBRA,  SERVICIOS Y SUMINISTROS. ASPECTOS PRÁCTICOS DE SU TRAMITACIÓN;JURIDICO PROCEDIMENTAL;4.46;4.48;4.24;4.31;4.32;4.26;4.46
38;LOS CONTRATOS DE GESTIÓN DE SERVICIOS PÚBLICOS EN LA LEY 9/2017. ASPECTOS PRÁCTICOS;JURIDICO PROCEDIMENTAL;4.44;4.32;4.19;4.26;4.14;4.08;4.39
39;LA NUEVA LEY ORGÁNICA DE PROTECCIÓN DE DATOS. ESPECIALIDADES Y ASPECTOS PRÁCTICOS DE SU APLICACIÓN;JURIDICO PROCEDIMENTAL;4.42;4.5;4.41;4.35;4.36;4.28;4.47
4;DESARROLLO Y EJECUCIÓN PRESUPUESTARIA EN LAS ENTIDADES LOCALES;ECNCO-PRESUP;4.49;4.63;4.42;4.38;4.34;3.93;4.47
40;EL CONTRATO MENOR. TIPOS,  PROCEDIMIENTO,  TRAMITACIÓN Y EJEMPLOS PRÁCTICOS;JURIDICO PROCEDIMENTAL;4.53;4.56;4.31;4.35;4.47;4.44;4.47
41;PREPARACIÓN DE LOS CONTRATOS Y PROCEDIMIENTOS DE CONTRATACIÓN;JURIDICO PROCEDIMENTAL;4.53;4.37;4.15;4.36;4.31;4.29;4.45
42;NNTT Y COMMUNITY MANAGER EN EL AMBITO LOCAL;NUEVAS TECNOLOGIAS;4.17;4.29;3.99;3.92;4.01;4.01;4.16
43;PAQUETE OFFICE;NUEVAS TECNOLOGIAS;4.68;4.56;4.39;4.38;4.39;4.48;4.51
44;OFIMÁTICA Y E-ADMINISTRACIÓN;NUEVAS TECNOLOGIAS;4.7;4.62;4.58;4.5;4.55;4.56;4.58
45;VIOLENCIAS DE GÉNERO EN REDES SOCIALES: ACTUACIONES EN MATERIA DE PREVENCIÓN;POLITICAS DE IGUALDAD;4.18;4.55;4.38;4.17;4.15;3.99;4.26
46;MOBBING,  BULLYNG,  ACOSO SEXUAL,  CIBERACOSO: LAS DIFERENTES FORMAS DEL ACOSO Y SU REPERCUSIÓN;POLITICAS DE IGUALDAD;4.57;4.42;4.37;4.39;4.37;4.34;4.46
47;IMPLANTACIÓN DE SISTEMAS DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO. NORMA ISO 45001;PREV RIESG LAB. SEG LABORAL;4.3;4.19;3.92;4.02;3.97;4.05;4.16
48;ELABORACIÓN DE PLANES DE AUTOPROTECCIÓN;PREV RIESG LAB. SEG LABORAL;4.38;4.42;4.38;4.23;4.25;4.14;4.32
49;CONTENIDO Y APLICACIÓN PRÁCTICA DE LA RPT Y LA PLANTILLA DE PLAZAS COMO INSTRUMENTOS BÁSICOS DE LA LEGALIDAD Y LA GESTIÓN DE LOS RRHH;RECURSOS HUMANOS;4.37;4.27;4.14;4.12;4.02;3.89;4.27
5;INVERSIONES FINANCIERAMENTE SOSTENIBLES;ECNCO-PRESUP;4.61;4.78;4.52;4.27;4.48;4.3;4.61
50;TRANSPARENCIA,  ADMINISTRACIÓN ELECTRÓNICA Y PROTECCIÓN DE DATOS. NOVEDADES TRAS LA LOPD 2018;ADMON ELECTRONICA;4.23;4.27;4.03;4.25;4.03;4.18;4.36
51;ESTRATEGIAS LOCALES CONTRA EL CAMBIO CLIMÁTICO. REDUCCIÓN DE LA HUELLA DE CARBONO A NIVEL LOCAL;URBANISMO Y MEDIO AMBIENTE;4.31;4.45;4.28;4.1;4.21;4.31;4.28
52;CONTROL DE CALIDAD DE LAS AGUAS;URBANISMO Y MEDIO AMBIENTE;4.54;4.57;4.4;4.32;4.46;4.46;4.46
54;NUEVA LEY DE EVALUACIÓN AMBIENTAL. 9 /18;URBANISMO Y MEDIO AMBIENTE;4.13;4.22;4.02;3.78;3.89;3.92;4.13
55;RESPONSABILIDAD Y ACTUACIÓN INSPECTORA DE LAS CCLL EN MATERIA DE INFRACCIONES Y DELITOS MEDIOAMBIENTALES;URBANISMO Y MEDIO AMBIENTE;4.43;4.3;4.1;4.13;4.17;4.07;4.27
56;IMPLANTACIÓN Y GESTIÓN DE ECOPARQUES Y PUNTOS LIMPIOS;URBANISMO Y MEDIO AMBIENTE;4.53;4.56;4.31;4.35;4.47;4.44;4.47
57;ANÁLISIS DE PROBLEMAS Y TOMA DE DECISIONES;DIRECCIÓN Y GERENCIA PUBLICA;4.3;4.36;4.18;4.02;4.09;3.99;4.22
58;ASPECTOS GENERALES DE LA AGENDA 2030 Y ODS;DIRECCIÓN Y GERENCIA PUBLICA;4.29;4.33;4.13;3.97;4.03;3.95;4.25
59;GESTIÓN DE PROYECTOS EUROPEOS Y BÚSQUEDAS DE SUBVENCIONES;UNION EUROPEA;4.05;4.16;3.91;4.01;3.93;4.05;4.16
6;ELABORACIÓN Y APLICACIÓN PRÁCTICA DE LAS BASES DE EJECUCIÓN DEL PRESUPUESTO. MARCO NORMATIVO;ECNCO-PRESUP;4.49;4.38;4.21;4.38;4.28;4.31;4.38
61;HERRAMIENTA PARA LA IMPLEMENTACIÓN Y MEJORA DE POLÍTICAS DE INFANCIA;AREA ESPECÍFICOS DETERMINADOS COLECTIVOS.;3.89;3.78;3.44;3.93;3.78;3.78;4.67
7;ELABORACIÓN, SEGUIMIENTO Y MODIFICACIÓN DE LOS PLANES ECONÓMICO FINANCIEROS EN LAS EELL;ECNCO-PRESUP;4.51;4.57;4.5;4.36;4.41;4.27;4.4
9;LIDERAZGO Y HABILIDADES DIRECTIVAS;INNOV Y CREATIVIAD EN LAS ORGANIZACIONES;4.87;4.55;4.32;4.35;4.55;4.42;4.48
