Vendor,"GRAPHTEC Corporation"
Model,"GL2000"
Version,"Ver1.30","Rev0001"
MaxChannel, 4CH
Logic/Pulse, Off
TempUnit, C
Sampling interval,1ms
Total data points, 23250          
Trigger, 0
Start time, 2021-02-16,17:12:39
End time, 2021-02-16,17:13:02
Trigger time, 2021-02-16,17:12:39
AMP settings
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1, " CH 1", M, DC, 20V, Off, +10.000, -10.000, V, 28, 5, 6, 0
Data
Number,Date,Time,us, CH1, Alarm,AlarmOut
NO.,Date,Time,us, V, A1234,AO1234
1,2021-02-16,17:12:39,000000,+0.024,LLLL,LLLL
2,2021-02-16,17:12:39,001000,+0.024,LLLL,LLLL
3,2021-02-16,17:12:39,002000,+0.024,LLLL,LLLL
4,2021-02-16,17:12:39,003000,+0.024,LLLL,LLLL
5,2021-02-16,17:12:39,004000,+0.023,LLLL,LLLL
6,2021-02-16,17:12:39,005000,+0.024,LLLL,LLLL
7,2021-02-16,17:12:39,006000,+0.024,LLLL,LLLL
8,2021-02-16,17:12:39,007000,+0.027,LLLL,LLLL
9,2021-02-16,17:12:39,008000,+0.023,LLLL,LLLL
10,2021-02-16,17:12:39,009000,+0.026,LLLL,LLLL
11,2021-02-16,17:12:39,010000,+0.025,LLLL,LLLL
12,2021-02-16,17:12:39,011000,+0.024,LLLL,LLLL
13,2021-02-16,17:12:39,012000,+0.021,LLLL,LLLL
14,2021-02-16,17:12:39,013000,+0.024,LLLL,LLLL
15,2021-02-16,17:12:39,014000,+0.031,LLLL,LLLL
16,2021-02-16,17:12:39,015000,+0.024,LLLL,LLLL
17,2021-02-16,17:12:39,016000,+0.023,LLLL,LLLL
18,2021-02-16,17:12:39,017000,+0.024,LLLL,LLLL
19,2021-02-16,17:12:39,018000,+0.025,LLLL,LLLL
20,2021-02-16,17:12:39,019000,+0.021,LLLL,LLLL
21,2021-02-16,17:12:39,020000,+0.024,LLLL,LLLL
22,2021-02-16,17:12:39,021000,+0.023,LLLL,LLLL
23,2021-02-16,17:12:39,022000,+0.024,LLLL,LLLL
24,2021-02-16,17:12:39,023000,+0.023,LLLL,LLLL
25,2021-02-16,17:12:39,024000,+0.023,LLLL,LLLL
26,2021-02-16,17:12:39,025000,+0.025,LLLL,LLLL
27,2021-02-16,17:12:39,026000,+0.024,LLLL,LLLL
28,2021-02-16,17:12:39,027000,+0.030,LLLL,LLLL
29,2021-02-16,17:12:39,028000,+0.025,LLLL,LLLL
30,2021-02-16,17:12:39,029000,+0.023,LLLL,LLLL
